Efd_Dies,Freq_Diesel,GenDisTM,GenDisWmac,Ifd_Dies,Vpu_Dies
1.067409304,60.0000062700000,0.100724341,376.9900549,1.067294507,1.000410837
1.06740889,60.0000062700000,0.100723734,376.990055,1.067294285,1.000410838
1.067408408,60.0000062700000,0.100723128,376.9900552,1.067294031,1.000410839
1.067407936,60.0000062700000,0.100722521,376.9900553,1.067293764,1.00041084
1.067407546,60.0000062700000,0.100721915,376.9900554,1.06729351,1.00041084
1.067407281,60.0000062700000,0.100721309,376.9900555,1.067293285,1.000410839
1.067407138,60.0000062700000,0.100720703,376.9900556,1.067293098,1.000410837
1.067407076,60.0000062700000,0.100720096,376.9900557,1.067292942,1.000410836
1.067407028,60.0000062700000,0.10071949,376.9900557,1.067292798,1.000410835
1.067406929,60.0000062700000,0.100718884,376.9900558,1.067292643,1.000410835
1.067406734,60.0000063900000,0.100718278,376.9900559,1.067292459,1.000410836
1.067406444,60.0000063900000,0.100717672,376.990056,1.067292235,1.000410837
1.067406095,60.0000063900000,0.100717066,376.9900561,1.067291983,1.000410839
1.067405751,60.0000063900000,0.100716461,376.9900563,1.067291715,1.000410839
1.067405477,60.0000063900000,0.100715855,376.9900564,1.067291459,1.000410839
1.067405317,60.0000063900000,0.100715249,376.9900565,1.067291234,1.000410838
1.067405274,60.0000063900000,0.100714643,376.9900566,1.067291055,1.000410836
1.067405308,60.0000063900000,0.100714038,376.9900566,1.067290914,1.000410834
1.067405348,60.0000063900000,0.100713432,376.9900566,1.067290798,1.000410833
1.067405317,60.0000063900000,0.100712827,376.9900567,1.067290679,1.000410832
1.067405157,60.0000063900000,0.100712221,376.9900568,1.067290536,1.000410832
1.067404849,60.0000063900000,0.100711616,376.9900568,1.067290352,1.000410833
1.067404421,60.0000063900000,0.10071101,376.990057,1.067290124,1.000410835
1.067403936,60.0000063900000,0.100710405,376.9900571,1.067289866,1.000410836
1.067403473,60.0000063900000,0.1007098,376.9900572,1.067289599,1.000410837
1.067403103,60.0000063900000,0.100709195,376.9900574,1.06728935,1.000410836
1.06740286,60.0000063900000,0.10070859,376.9900575,1.067289132,1.000410835
1.067402735,60.0000063900000,0.100707985,376.9900575,1.067288953,1.000410834
1.067402681,60.0000063900000,0.100707379,376.9900576,1.067288799,1.000410832
1.067402629,60.0000063900000,0.100706774,376.9900577,1.067288656,1.000410832
1.067402516,59.9999873400000,0.10070617,376.9900577,1.067288498,1.000410832
1.067402306,59.9999873400000,0.100705565,376.9900578,1.067288308,1.000410833
1.067402003,59.9999873400000,0.10070496,376.990058,1.067288079,1.000410834
1.06740165,59.9999873400000,0.100704355,376.9900581,1.067287821,1.000410835
1.067401314,59.9999873400000,0.10070375,376.9900582,1.067287555,1.000410836
1.067401058,59.9999873400000,0.100703146,376.9900583,1.067287304,1.000410836
1.067400919,59.9999873400000,0.100702541,376.9900584,1.067287086,1.000410834
1.067400892,59.9999873400000,0.100701937,376.9900585,1.067286915,1.000410833
1.067400931,59.9999873400000,0.100701332,376.9900585,1.067286779,1.000410831
1.067400964,59.9999873400000,0.100700728,376.9900586,1.067286666,1.000410829
1.067400915,59.9999873400000,0.100700123,376.9900586,1.067286544,1.000410829
1.06740073,59.9999873400000,0.100699519,376.9900587,1.067286396,1.000410829
1.067400398,59.9999873400000,0.100698914,376.9900588,1.067286204,1.00041083
1.067399955,59.9999873400000,0.10069831,376.9900589,1.067285972,1.000410832
1.067399467,59.9999873400000,0.100697706,376.990059,1.067285711,1.000410833
1.067399015,59.9999873400000,0.100697102,376.9900592,1.067285447,1.000410833
1.067398664,59.9999873400000,0.100696498,376.9900593,1.0672852,1.000410833
1.067398443,59.9999873400000,0.100695894,376.9900594,1.06728499,1.000410831
1.067398334,59.9999873400000,0.10069529,376.9900595,1.067284815,1.00041083
1.067398285,59.9999873400000,0.100694686,376.9900595,1.067284667,1.000410829
1.067398227,59.9999873400000,0.100694082,376.9900596,1.067284522,1.000410828
1.067398099,60.0000062700000,0.100693478,376.9900597,1.067284359,1.000410828
1.067397872,60.0000062700000,0.100692874,376.9900598,1.067284161,1.000410829
1.067397558,60.0000062700000,0.100692271,376.9900599,1.067283929,1.000410831
1.067397205,60.0000062700000,0.100691667,376.99006,1.067283668,1.000410832
1.06739688,60.0000062700000,0.100691063,376.9900602,1.067283403,1.000410833
1.067396643,60.0000062700000,0.10069046,376.9900603,1.067283157,1.000410832
1.067396526,60.0000062700000,0.100689856,376.9900604,1.067282949,1.000410831
1.067396515,60.0000062700000,0.100689253,376.9900604,1.067282783,1.000410829
1.06739656,60.0000062700000,0.100688649,376.9900605,1.067282654,1.000410827
1.067396585,60.0000062700000,0.100688046,376.9900605,1.06728254,1.000410826
1.067396515,60.0000062700000,0.100687443,376.9900605,1.067282417,1.000410825
1.067396306,60.0000062700000,0.10068684,376.9900606,1.067282262,1.000410826
1.067395952,60.0000062700000,0.100686236,376.9900607,1.067282063,1.000410827
1.067395497,60.0000062700000,0.100685633,376.9900608,1.067281824,1.000410828
1.067395011,60.0000062700000,0.10068503,376.990061,1.067281562,1.00041083
1.067394574,60.0000062700000,0.100684427,376.9900611,1.067281299,1.00041083
1.067394246,60.0000062700000,0.100683824,376.9900612,1.067281058,1.000410829
1.067394046,60.0000062700000,0.100683221,376.9900613,1.067280855,1.000410828
1.067393952,60.0000062700000,0.100682618,376.9900614,1.067280685,1.000410826
1.067393908,60.0000062700000,0.100682015,376.9900614,1.067280541,1.000410825
1.067393842,60.0000062700000,0.100681413,376.9900615,1.067280394,1.000410825
1.067393699,60.0000063900000,0.10068081,376.9900616,1.067280228,1.000410825
1.067393455,60.0000063900000,0.100680207,376.9900617,1.067280025,1.000410826
1.06739313,60.0000063900000,0.100679605,376.9900618,1.067279787,1.000410828
1.067392776,60.0000063900000,0.100679002,376.990062,1.067279524,1.000410829
1.067392461,60.0000063900000,0.1006784,376.9900621,1.06727926,1.000410829
1.067392243,60.0000063900000,0.100677797,376.9900622,1.067279018,1.000410829
1.067392146,60.0000063900000,0.100677195,376.9900623,1.067278818,1.000410827
1.06739215,60.0000063900000,0.100676592,376.9900623,1.067278659,1.000410825
1.067392197,60.0000063900000,0.10067599,376.9900624,1.067278536,1.000410823
1.067392212,60.0000063900000,0.100675388,376.9900624,1.067278422,1.000410822
1.067392122,60.0000063900000,0.100674786,376.9900625,1.067278296,1.000410822
1.067391889,60.0000063900000,0.100674184,376.9900625,1.067278133,1.000410823
1.067391516,60.0000063900000,0.100673581,376.9900627,1.067277929,1.000410824
1.067391051,60.0000063900000,0.100672979,376.9900628,1.067277685,1.000410825
1.067390568,60.0000063900000,0.100672377,376.9900629,1.067277421,1.000410826
1.067390146,60.0000063900000,0.100671776,376.990063,1.067277161,1.000410826
1.067389839,60.0000063900000,0.100671174,376.9900632,1.067276928,1.000410826
1.06738966,60.0000063900000,0.100670572,376.9900632,1.067276729,1.000410824
1.06738958,60.0000063900000,0.10066997,376.9900633,1.067276566,1.000410823
1.067389537,60.0000063900000,0.100669368,376.9900634,1.067276422,1.000410822
1.067389462,60.0000063900000,0.100668767,376.9900634,1.067276274,1.000410821
1.067389303,59.9999873400000,0.100668165,376.9900635,1.067276102,1.000410822
1.067389044,59.9999873400000,0.100667564,376.9900636,1.067275895,1.000410823
1.06738871,59.9999873400000,0.100666962,376.9900638,1.067275651,1.000410825
1.067388358,59.9999873400000,0.100666361,376.9900639,1.067275388,1.000410826
1.067388057,59.9999873400000,0.100665759,376.990064,1.067275127,1.000410826
1.067387858,59.9999873400000,0.100665158,376.9900641,1.067274892,1.000410825
1.067387779,59.9999873400000,0.100664557,376.9900642,1.067274698,1.000410823
1.067387795,59.9999873400000,0.100663955,376.9900643,1.067274547,1.000410821
1.067387842,59.9999873400000,0.100663354,376.9900643,1.067274426,1.00041082
1.067387844,59.9999873400000,0.100662753,376.9900643,1.067274314,1.000410819
1.067387732,59.9999873400000,0.100662152,376.9900644,1.067274183,1.000410819
1.067387474,59.9999873400000,0.100661551,376.9900645,1.067274014,1.000410819
1.06738708,59.9999873400000,0.10066095,376.9900646,1.067273803,1.000410821
1.067386606,59.9999873400000,0.100660349,376.9900647,1.067273555,1.000410822
1.067386128,59.9999873400000,0.100659748,376.9900648,1.06727329,1.000410823
1.067385722,59.9999873400000,0.100659147,376.990065,1.067273032,1.000410823
1.067385435,59.9999873400000,0.100658546,376.9900651,1.067272805,1.000410822
1.067385276,59.9999873400000,0.100657946,376.9900652,1.067272613,1.000410821
1.067385206,59.9999873400000,0.100657345,376.9900652,1.067272456,1.000410819
1.067385163,59.9999873400000,0.100656744,376.9900653,1.067272312,1.000410818
1.067385077,59.9999873400000,0.100656144,376.9900654,1.067272163,1.000410818
1.067384902,60.0000062700000,0.100655543,376.9900655,1.067271985,1.000410819
1.067384629,60.0000062700000,0.100654943,376.9900656,1.067271771,1.00041082
1.067384288,60.0000062700000,0.100654343,376.9900657,1.067271523,1.000410821
1.067383942,60.0000062700000,0.100653742,376.9900658,1.067271258,1.000410822
1.067383656,60.0000062700000,0.100653142,376.990066,1.067271001,1.000410822
1.067383479,60.0000062700000,0.100652542,376.9900661,1.067270773,1.000410821
1.06738342,60.0000062700000,0.100651941,376.9900661,1.067270586,1.00041082
1.067383447,60.0000062700000,0.100651341,376.9900662,1.067270443,1.000410818
1.067383493,60.0000062700000,0.100650741,376.9900662,1.067270324,1.000410816
1.06738348,60.0000062700000,0.100650141,376.9900662,1.067270212,1.000410815
1.067383345,60.0000062700000,0.100649541,376.9900663,1.067270075,1.000410815
1.067383062,60.0000062700000,0.100648941,376.9900664,1.0672699,1.000410816
1.067382652,60.0000062700000,0.100648341,376.9900665,1.067269681,1.000410818
1.067382172,60.0000062700000,0.100647742,376.9900666,1.067269429,1.000410819
1.067381702,60.0000062700000,0.100647142,376.9900668,1.067269164,1.00041082
1.067381315,60.0000062700000,0.100646542,376.9900669,1.067268913,1.000410819
1.067381053,60.0000062700000,0.100645942,376.990067,1.06726869,1.000410818
1.067380913,60.0000062700000,0.100645343,376.9900671,1.067268505,1.000410817
1.067380853,60.0000062700000,0.100644743,376.9900671,1.067268351,1.000410815
1.067380808,60.0000062700000,0.100644144,376.9900672,1.06726821,1.000410815
1.067380711,60.0000062700000,0.100643544,376.9900673,1.067268057,1.000410815
1.067380519,60.0000063900000,0.100642945,376.9900674,1.067267875,1.000410815
1.067380231,60.0000063900000,0.100642345,376.9900675,1.067267654,1.000410817
1.067379884,60.0000063900000,0.100641746,376.9900676,1.067267403,1.000410818
1.067379542,60.0000063900000,0.100641147,376.9900678,1.067267138,1.000410819
1.067379272,60.0000063900000,0.100640548,376.9900679,1.067266884,1.000410819
1.067379114,60.0000063900000,0.100639949,376.990068,1.067266661,1.000410818
1.067379074,60.0000063900000,0.10063935,376.990068,1.067266485,1.000410816
1.06737911,60.0000063900000,0.10063875,376.9900681,1.067266346,1.000410814
1.067379152,60.0000063900000,0.100638151,376.9900681,1.067266232,1.000410812
1.067379124,60.0000063900000,0.100637553,376.9900682,1.067266116,1.000410812
1.067378966,60.0000063900000,0.100636954,376.9900682,1.067265974,1.000410812
1.067378661,60.0000063900000,0.100636355,376.9900683,1.067265793,1.000410813
1.067378235,60.0000063900000,0.100635756,376.9900684,1.067265568,1.000410814
1.067377752,60.0000063900000,0.100635157,376.9900686,1.067265312,1.000410816
1.067377292,60.0000063900000,0.100634559,376.9900687,1.067265047,1.000410816
1.067376924,60.0000063900000,0.10063396,376.9900688,1.0672648,1.000410816
1.067376684,60.0000063900000,0.100633361,376.9900689,1.067264584,1.000410815
1.067376561,60.0000063900000,0.100632763,376.990069,1.067264407,1.000410813
1.06737651,60.0000063900000,0.100632164,376.9900691,1.067264256,1.000410812
1.06737646,60.0000063900000,0.100631566,376.9900691,1.067264115,1.000410811
